title,rating,tags,image,url,summary
异形 Alien,8.3,1979 / 英国 美国 / 科幻 惊悚 恐怖 / 雷德利·斯科特,https://m.media-amazon.com/images/M/MV5BNTU1NDk5NmEtZmJkYi00NGE1LTgwNjktNTJiNTAxNzdiMzY2XkEyXkFqcGc@._V1_FMjpg_UY3224_.jpg,https://movie.douban.com/subject/1300868/,未来的世界，人类已能轻松穿梭于星际之间，在太空中展开商业活动。“诺史莫”是在太空活动的众多星际商业运输船之一。一次，它完成任务满载太空矿石返航地球时，突然收到了一组奇怪的信号，由于这可能是求救信号，飞船接到指令前往信号源地进行搜救。经过一段飞行后，飞船终于抵达信号源发出的地方。船员们发现此处果然有一艘坠毁的飞船，只是，经过一番搜索，他们发现该船的船员们都早已死亡，化为化石。此时，留在“诺史莫”号的第三指挥官里普利已经破译出该信号并不是求救信号，而是警告信号！队员的生死搏斗开始了！
Babylon,N/A,2014 / 英国 / 剧情 喜剧 / 丹尼·博伊尔,https://m.media-amazon.com/images/M/MV5BZmM0OTdjODItMmZkYi00NTM2LWEzODQtMzZkZDdiMWYxNjExXkEyXkFqcGc@._V1_FMjpg_UX680_.jpg,https://movie.douban.com/subject/26258809/,奥斯卡最佳导演获奖者丹尼·博伊尔指导Channel 4最新喜剧《警察故事》。本剧关注一批伦敦警察高层，由《霍比特人》演员詹姆斯·纳斯比特、奥利维亚奖最佳男主角博迪·卡维尔主演。2014年春天将播出一集试播集，九月播出6集全长正片。伦敦警方急需改善形象，于是警察局长Richard Miller叫来美国新媒体领域的专家、公关形象设计师Liz Garvey（Brit Marling）帮助伦敦警察局的公关宣传部门进行改革。获得奥斯卡奖的导演Danny Boyle制片并执导该剧。Sam Bain和Jesse Armstrong撰写剧本。 剧名《巴比伦》有着多重含义：首先，伦敦市的别称就叫做「现代巴比伦」（The Modern Babylon）；其次，巴比伦在黑人英语中是对白人尤其是警察社会生活的鄙视用语；第三，巴比伦有奢华淫靡的意思，吻合剧情中「警察部门因丑闻而面临公关危机并急需改善形象」的事实。
神秘的河 Secret River,N/A,2015 / 澳大利亚 / 剧情 / Daina Reid & Oliver Jackson-Cohen & Sarah Snook,https://m.media-amazon.com/images/M/MV5BMTQzMzcwMzE0Nl5BMl5BanBnXkFtZTgwOTU5OTc3NTE@._V1_FMjpg_UY3840_.jpg,https://movie.douban.com/subject/25940526/,In 1806，William Thornhill is sentenced to New South Wales for life where he is drawn into a terrifying conflict that will leave a bloody and indelible stain.
情理法的春天 第六季 Homicide: Life on the Street Season 6,N/A,1997 / 美国 / 剧情 悬疑 战争 / 阿兰·泰勒,https://m.media-amazon.com/images/M/MV5BYmE0NjVhM2ItZTMzNi00M2QxLWEzZjctYzcxMTU2Y2QzMmEyXkEyXkFqcGc@._V1_FMjpg_UX1060_.jpg,https://movie.douban.com/subject/26320798/,剧情围绕巴尔的摩警察局的一群凶杀案调查小组的侦探人员展开，深入描述了警察局探员细致入微、抽丝剥茧的探案过程。与其他同类电视剧不同的是，该剧非常强调真实性，几乎所有的细节都建立在实际探案的基础上。
大风杀,7.0,2025 / 中国大陆 / 剧情 悬疑 犯罪 / 张琪 / 白客 辛柏青,https://www.ty4k.vip/wp-content/uploads/2025/06/p2920392225.jpg,https://movie.douban.com/subject/36512371/,1995年，全面禁枪政策实施的前一年，弃镇忙崖的平静被打破。藏匿巨额宝藏的悍匪大哥北山（辛柏青 饰）越狱出逃，43名穷凶极恶的匪徒从四面八方齐聚于此，随大哥北山一道用武力封锁忙崖，整座小镇陷入了断油断通信的绝境！悍匪要钱也要命，忙崖枪声四起，巨大沙暴也即将席卷而来。“夜猫子”夏然（白客 饰）和另外两位民警面临着1把枪对阵88把枪的天崩开局，匪帮内部亦上演“黑吃黑”大戏。群匪环伺，风沙蔽日，命悬一线，如何破局？
会计刺客2 The Accountant 2,6.1,2025 / 美国 / 剧情 动作 悬疑 惊悚 犯罪 / 加文·欧康诺 / 本·阿弗莱克 乔·博恩瑟,https://m.media-amazon.com/images/M/MV5BYjFiY2I0NTEtNjdjNy00MTljLThkOWYtMzNiYjYyMDcxYjhkXkEyXkFqcGc@._V1_FMjpg_UY3000_.jpg,https://movie.douban.com/subject/27077476/,当一位老友遭到谋杀，只留下一条神秘讯息：“找到那个会计师”，克里斯蒂安·沃尔夫（本·阿弗莱克饰）不得已开始追查此案，并招来了战力惊人的弟弟布莱斯顿（乔恩·伯恩瑟尔饰）助阵。他们与金融犯罪执法局副局长玛莉贝丝·麦迪娜（辛西娅·阿戴-罗宾逊饰）联手，揭露了一场致命阴谋，却也因此成为杀手集团的目标，对方誓要不惜一切代价保守阴谋的秘密。
妙警贼探 第一季 White Collar Season 1,8.8,2009 / 美国 / 剧情 喜剧 悬疑 犯罪 / Bronwen Hughes（Pilot） / 马特·波莫 蒂姆·迪凯,https://m.media-amazon.com/images/M/MV5BMTI2OTExNTU2M15BMl5BanBnXkFtZTcwMjQwNjk4Mg@@._V1_FMjpg_UX600_.jpg,https://movie.douban.com/subject/3620686/,Neal Caffrey（马修·波莫 Matthew Bomer 饰）是一个英俊迷人的犯罪大师，4年前因为一宗伪造国债案被联邦调查局的死对头Peter Burke（蒂姆·迪凯 Tim DeKay 饰）送进了监狱。Neal因为挚爱Kate（亚历珊德拉·达达里奥 Alexandra Daddario 饰）的突然离去，毅然选择了在刑满释放的前夕逃狱。Peter在当天就抓捕了Neal，为此Neal的刑期又多追加了4年。Neal为了自由也为了早日找到Kate他顺利利用自己犯罪大师的优势成为了FBI的特聘顾问，并且成了死对头Peter的搭档，俩人合体屡破奇案。Neal由于戴着GPS脚铐，行动受到限制，所以他暗地里让自己的老搭档Mozzie（威利·加森 Willie Garson 饰）帮他寻找Kate的下落。扑朔迷离的真想慢慢展开，一切充满了阴谋的味道。
冤家成双对 第一季 Coupling Season 1,9.1,2000 / 英国 / 喜剧 / Martin Dennis / 杰克·达文波特 吉娜·贝尔曼 莎拉·亚历山大,https://m.media-amazon.com/images/M/MV5BM2EzMTA4MjgtOTBiYS00NGI2LWJhYTQtYWUzZDI2YjI2NTJlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://movie.douban.com/subject/1424702/,苏珊（莎拉·亚历山大 Sarah Alexander 饰）漂亮、自信，知道自己想要什么，并善于在恋爱关系中掌握主导地位。她的前男友帕特里克（本·迈尔斯 Ben Miles 饰）也是个情场高手。苏珊最好的朋友萨利（凯特·李斯特 Kate Isitt 饰）是个美容师，终日担心衰老，整天和各种化妆品打交道。苏珊的现男朋友史蒂夫（杰克·达文波特 Jack Davenport 饰）是个假正经的帅哥，喜欢发长篇大论。他的前任女友简（吉娜·贝尔曼 Gina Bellman 饰）是个厉害的性感尤物，是“所有男人最可怕的噩梦”。而他的好友杰夫（理查德·柯伊尔 Richard Coyle 饰）一方面非常喜欢给朋友们提供恋爱和性爱方面的建议，另一方面却一见女人就紧张得手足无措。当这几个人聚在一起，好戏就开场了......
悬案解码 Dept. Q,8.5,2025 / 英国 / 剧情 惊悚 犯罪 / 斯科特·弗兰克 / 马修·古迪 克洛伊·皮里,https://m.media-amazon.com/images/M/MV5BNWQ3MDQ2MGQtOGM0MC00MzlkLWE0ODQtYzE4Zjc3Mjc1ZWI5XkEyXkFqcGc@._V1_FMjpg_UX1200_.jpg,https://movie.douban.com/subject/36392949/,一场暴力事件使总警督Carl Morck（马修·古迪 饰）的人生天翻地覆，并留下精神创伤，他被委派去建立被称为“Department Q”的悬案小组。起初，理想破灭的他乐得在这里浪费时间，但作为警察的直觉最终觉醒，他的新部门深深吸引了很多不合群的人、特立独行者。
玛克辛 MaXXXine,6.0,2024 / 美国 / 恐怖 / 缇·威斯特 / 米娅·高斯 伊丽莎白·德比齐,https://m.media-amazon.com/images/M/MV5BMWE4OTA1YzUtYzdhNi00N2EwLThiZGYtNzA2Y2ZjOWQ0OTgyXkEyXkFqcGc@._V1_FMjpg_UY12000_.jpg,https://movie.douban.com/subject/35891632/,决心告别成人片界的玛辛，终于凭优异演技通过恐怖电影试镜，跨过门坎成为一线演员。纵使连续杀人魔专挑年轻女星下手，此时闹得满城风雨，人美、自信、心狠手辣的玛辛不想辜负导演的赏识，一心一意只想在成名路上毅然前行。当杀人魔悄然逼近，甚至威胁揭露玛辛不为人知的过去，拒绝坐以待毙的她，决定狠心反制、主动出击！
